last.x,st.x,subcommittee.x,recipient.x,location.x,project.x,amount.x,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,senate_class.x,party.x,state.x,first.x,project_st.x,member_id.x,pvi_2020.x,request_num.x,ID.x,FY.x,middle.x,member_ID.x,cat.x,sub.x,address.lon.x,address.lat.x,formatted_address.lon.x,formatted_address.lat.x,formatted_address.type.x,formatted_address.loctype.x,formatted_address.address.x,formatted_address.north.x,formatted_address.south.x,formatted_address.east.x,formatted_address.west.x,recipient.y,location.y,project.y,amount.y,suffix.y,nickname.y,full_name.y,birthday.y,gender.y,senate_class.y,party.y,state.y,first.y,project_st.y,member_id.y,pvi_2020.y,request_num.y,ID.y,FY.y,middle.y,member_ID.y,cat.y,sub.y,address.lon.y,address.lat.y,formatted_address.lon.y,formatted_address.lat.y,formatted_address.type.y,formatted_address.loctype.y,formatted_address.address.y,formatted_address.north.y,formatted_address.south.y,formatted_address.east.y,formatted_address.west.y,chamber,id,account,department,budget_request,additional_amount,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,district,bioguide_id,recipient.x,recipient.y,project.x,project.y,amount.x,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,senate_class.x,party.x,...35,...36,full_name.y,amount.y,senate_class.y,party.y,suffix.y,nickname.y,birthday.y,gender.y,...1,...2
Baldwin,WI,AG,Boys & Girls Club of Barron,Barron,Boys & Girls Club of Barron County New Building Project,500000.0,,,Tammy Baldwin,2/11/62,F,1.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Boys & Girls Club of Barron County,Rice Lake,New building project,500000.0,,,,,,,2,Wisconsin,Tammy,WI,,,1,1245,FY2023,,B001230,Rural Development,,,,,,,,,,,,,S,290,Rural Housing Service,"USDA, Rural Development",,,,1.0,S,500000.0,0,1,0.0,500000.0,Tammy,,,B001230,,,,,,,,,,,,,,,,,,,,,,,709,709
Baldwin,WI,AG,Sister Bay & Liberty Grove,,Sister Bay & Liberty Grove,900000.0,,,Tammy Baldwin,2/11/62,F,1.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Sister Bay & Liberty Grove Fire Department,Sister Bay,Emergency Response Apparatus Replacement,900000.0,,,,,,,2,Wisconsin,Tammy,WI,,,1,1247,FY2023,,B001230,Rural Development,,-87.120945,45.18721,-87.120945,45.18721,locality,approximate,sister bay,wi,usa,45.20024,"45.17095, -87.104796, -87.151263",S,292,Rural Housing Service,"USDA, Rural Development",,,,1.0,S,900000.0,0,1,0.0,900000.0,Tammy,,,B001230,,,,,,,,,,,,,,,,,,,,,,,711,711
Baldwin,WI,EW,U.S. Army Corps of Engineers,Menominee River,"Menominee River Deepening, MI & WI",600000.0,,,Tammy Baldwin,2/11/62,F,1.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Army Corps of Engineers (Civil),Marinette,Menominee River Deepening,1300000.0,,,,,,,2,Wisconsin,Tammy,WI,,,1,6750,FY2023,,B001230,Water,,-87.630662,45.09998,-87.630662,45.09998,locality,approximate,marinette,wi 54143,usa,45.11332,"45.06711, -87.576664, -87.670019",S,6977,Investigations,Army Corps of Engineers (Civil),,600000.0,,2.0,S,300000.0,0,2,0.0,600000.0,Tammy,,,B001230,,,,,,,,,,,,,,,,,,,,,,,2365,2365
Bennet,CO,THUD,,,Peterson Space Force Base North Gate Access and Safety improvements,500000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,CDOT,Colorado Springs,This project will enable the City of Colorado Springs to complete an engineering design for improved multimodal infrastructure at the Peterson Airforce Base North Gate. This will improve access to non-base related retail spaces and neighborhoods.,500000.0,,,,,,,2,Colorado,Michael,CO,,,1,40800,FY2023,F,B001267,Other - THUD,,-104.8002,38.78866,-104.8002,38.78866,establishment,rooftop,1480 quail lake loop # a,colorado springs,co 80906,usa,"38.78997, 38.78727,-104.798863,-104.801561",S,1541,Highway Infrastructure Programs,Department of Transportation,,,,2.0,S,250000.0,0,2,0.0,500000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,13842,13842
Bennet,CO,THUD,"New Dance Theatre, Inc. dba Cleo Parker Robinson Dance",,Cleo Parker Campus Expansion,1000000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Cleo Parker Robinson Dance,Denver,"This project will support the expansion of the Cleo Parker campus by constructing a new facility. This expansion will enable the organization to dramatically expand their education and job training programs, including partnerships with local universi",2000000.0,,,,,,,2,Colorado,Michael,CO,,,1,37693,FY2023,F,B001267,Urban Development,,-104.9785,39.74799,-104.9785,39.74799,establishment,rooftop,119 park ave w,denver,co 80205,usa,"39.74922, 39.74652,-104.977046,-104.979744",S,2370,Community Development Fund,Department of Housing and Urban Development,,,,1.0,S,1000000.0,0,1,0.0,1000000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,12658,12658
Bennet,CO,THUD,Archway Housing & Services Inc.,,Archway Communities Park Hill Campus Rehabilitation,3000000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Archway Housing & Services,Denver,This project will support the renovation of four historic dormitory buildings on the former Johnson & Wales University campus into affordable housing units. This development would create up to 154 affordable housing units and bring new educational an,5000000.0,,,,,,,2,Colorado,Michael,CO,,,1,30196,FY2023,F,B001267,Housing,,,,,,,,,,,,,S,2373,Community Development Fund,Department of Housing and Urban Development,,,,2.0,S,1500000.0,0,2,0.0,3000000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,10106,10106
Bennet,CO,THUD,YWCA of Pueblo,,YWCA of Pueblo Childcare Cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YMCA of Pueblo,Pueblo,This project will enable the YMCA of Pueblo to expand their facility to provide an additional four preschool classrooms and move the playground. This will help the preschool to expand their capacity by 80 preschool students and better serve the commu,1806000.0,,,,,,,2,Colorado,Michael,CO,,,1,37709,FY2023,F,B001267,Urban Development,,-104.6562,38.30433,-104.6562,38.30433,establishment,rooftop,3200 e spaulding ave,pueblo,co 81008,usa,"38.30564, 38.30294,-104.655165,-104.657863",S,2378,Community Development Fund,Department of Housing and Urban Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12674,12674
Bennet,CO,THUD,Children's Advocacy Center for the Pikes Peak Region Inc.,,Child Advocacy Center Construc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Advocacy Center for the Pikes Peak Regi,Colorado Springs,This project will enable the construction of a new building for the first ever co-located Children’s Advocacy Center in Colorado. This facility will co-locate and streamline services for survivors of child abuse as they move through the justice syste,360000.0,,,,,,,2,Colorado,Michael,CO,,,1,37692,FY2023,F,B001267,Urban Development,,-104.8233,38.83158,-104.8233,38.83158,establishment,rooftop,121 s tejon st #700,colorado springs,co 80903,usa,"38.83299, 38.83029,-104.822118,-104.824816",S,2382,Community Development Fund,Department of Housing and Urban Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12657,12657
Bennet,CO,LHHS,,,"Inner City Health Center, CO, for facilities and equipment",2820000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Inner City Health Center,Denver,"This project will support clinic renovations for Inner City Health Center. Funding will concentrate on renovating existing medical exam rooms, dental operations, a community outreach department, and the addition of a physical activity center, and aux",2820000.0,,,,,,,2,Colorado,Michael,CO,,,1,23612,FY2023,F,B001267,Health,Hospitals & Clincs,-104.9592,39.76946,-104.9592,39.76946,dentist,rooftop,3800 york st,denver,co 80205,usa,"39.77081, 39.76811,-104.957644,-104.960342",S,4557,Health Resources and Services Administration,Department of Health and Human Services,,,,2.0,S,1410000.0,0,2,0.0,2820000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,7785,7785
Bennet,CO,LHHS,,,"Fort Lewis College, CO, for a nursing workforce education degree program",1300000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Fort Lewis College,Durango,"This project will allow Fort Lewis College, in partnership with the University of Colorado Anschutz College of Nursing, to create a four-year degree in nursing. This program will adopt inclusive teaching practices and provide solutions to nursing sho",1300000.0,,,,,,,2,Colorado,Michael,CO,,,1,19161,FY2023,F,B001267,Education,Higher Ed,-107.8712,37.27369,-107.8712,37.27369,establishment,rooftop,1000 rim dr,durango,co 81301,usa,"37.27497, 37.27227,-107.869908,-107.872606",S,5625,Higher Education,Department of Education,,,,2.0,S,650000.0,0,2,0.0,1300000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,6196,6196
Blumenthal,CT,CJS,University of Maryland Center for Environmental Science,Dorchester County,Oyster Research to Enhance Resiliency,960000.0,,,Richard Blumenthal,2/13/46,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,East Coast Shellfish Growers Association,Milford,"Funding for the necessary investments to maintain the broodstock, grow algal food, and preform the breeding work to deploy 100 selected lines of oysters at growout sites throughout New England.",2000000.0,,,,,,,2,Connecticut,Richard,CT,,,1,5166,FY2023,,B001277,Other - CJS,,-73.064036,41.2307,-73.064036,41.2307,locality,approximate,milford,ct,usa,41.27660,"41.16860, -72.979047, -73.122453",S,674,NOAA-ORF,DOC,,,,2.0,S,480000.0,0,2,0.0,960000.0,Richard,,,B001277,,,,,,,,,,,,,,,,,,,,,,,1643,1643
Blumenthal,CT,EW,"Town of Hamden, CT",Town of Hamden,Town of Hamden Administrative Building Energy Efficiency Improvements,600000.0,,,Richard Blumenthal,2/13/46,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Town of Hamden,Hamden,Funding will help the town of Hamen purchase new energy efficiency equipment and make energy efficiency building improvements at the town's administrative office building.,600000.0,,,,,,,2,Connecticut,Richard,CT,,,1,5553,FY2023,,B001277,Energy,,-72.954853,41.33758,-72.954853,41.33758,establishment,rooftop,231 wintergreen ave,new haven,ct 06515,usa,"41.33878, 41.33609, -72.953868, -72.956566",S,7202,Energy Projects,Department of Energy,,600000.0,,3.0,B,200000.0,1,2,200000.0,400000.0,Richard,,,B001277,,,,,,,,,,,,,,,,,,,,,,,1785,1785
Blunt,MO,THUD,,,Springfield-Branson National Airport (SGF) Terminal Ramp Extension,6400000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,City of Springfield,Springfield,This project would expand the existing terminal ramp and apron at Springfield-Branson National Airport to provide for new terminal expansion.,6400000.0,,,,,,,1,Missouri,Roy,MO,,,1,35230,FY2023,,B000575,Transportation,Air,-93.2923,37.20896,-93.2923,37.20896,locality,approximate,springfield,mo,usa,37.27081,"37.08740, -93.178643, -93.414006",S,1368,Grants-in-Aid for Airports,Department of Transportation,,,,1.0,S,6400000.0,0,1,0.0,6400000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,11921,11921
Blunt,MO,THUD,,,Waynesville-St. Robert Regional Airport (TBN) Taxiway Extension,2500000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Waynesville-St. Robert Regional Airport,Fort Leonard Wood,The Waynesville-St. Robert Regional Airport is a joint-use airport located at Fort Leonard Wood. Funding will be used for an extension of the parallel taxiway to reduce congestion and potential safety hazards of taxiing aircraft.,5000000.0,,,,,,,1,Missouri,Roy,MO,,,1,35229,FY2023,,B000575,Transportation,Air,-92.1368,37.73282,-92.1368,37.73282,airport,rooftop,waynesville - st. robert regional airport,5017 iowa ave,fort leonard wood,mo 65473,"usa, 37.73413, 37.73144, -92.135351, -92.138049",S,1369,Grants-in-Aid for Airports,Department of Transportation,,,,1.0,S,2500000.0,0,1,0.0,2500000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,11920,11920
Blunt,MO,THUD,,,South Loop Link,286000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Missouri Department of Transportation,Kansas City,"The South Loop Link project would deck over a four-block section of Interstate 670 to create an enhanced, green mobility hub enabling multimodal transportation options, regional job access, green and healthy living space, private development, and a c",65000000.0,,,,,,,1,Missouri,Roy,MO,,,1,33078,FY2023,,B000575,Transportation,Roads,-94.54138,39.09019,-94.54138,39.09019,establishment,geometric_center,kansas city,mo 64127,usa,39.09167,"39.08897, -94.540017, -94.542715",S,1723,Highway Infrastructure Programs,Department of Transportation,,,,1.0,S,286000000.0,0,1,0.0,286000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,11287,11287
Blunt,MO,LHHS,,,"Missouri Chamber Foundation, MO, for a healthcare apprenticeship program, including curriculum and supportive services",1350000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Missouri Chamber Foundation,Springfield,For a health workforce training program in coordination with Cox Health.,2500000.0,,,,,,,1,Missouri,Roy,MO,,,1,26268,FY2023,,B000575,Health,,-93.2923,37.20896,-93.2923,37.20896,locality,approximate,springfield,mo,usa,37.27081,"37.08740, -93.178643, -93.414006",S,3854,Employment and Training Administration,Department of Labor,,,,1.0,S,1350000.0,0,1,0.0,1350000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,8893,8893
Blunt,MO,LHHS,,,"Missouri University of Science and Technology, MO, for an advanced manufacturing training program, including equipment",3000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Missouri University of Science and Technology,Rolla,For the purchase of equipment for an advanced manufacturing training program.,5000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19615,FY2023,,B000575,Education,Higher Ed,-91.77563,37.95371,-91.77563,37.95371,establishment,rooftop,106,parker hall,300 w 13th st,rolla,"mo 65409, usa, 37.95505, 37.95236, -91.774014, -91.776712",S,3855,Employment and Training Administration,Department of Labor,,,,1.0,S,3000000.0,0,1,0.0,3000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6650,6650
Blunt,MO,LHHS,,,"Northeast Missouri Health Council, Inc., MO, for a dental and medical training program, including equipment and curriculum",660000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,"Northeast Missouri Health Council, Inc",Kirksville,For a dental and medical training program at Northeast Missouri Health Council.,1000000.0,,,,,,,1,Missouri,Roy,MO,,,1,26266,FY2023,,B000575,Health,,-92.57325,40.20673,-92.57325,40.20673,dentist,rooftop,1416 crown dr,kirksville,mo 63501,usa,"40.20819, 40.20550, -92.571895, -92.574593",S,3872,Employment and Training Administration,Department of Labor,,,,1.0,S,660000.0,0,1,0.0,660000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,8891,8891
Blunt,MO,LHHS,,,"Rung Foundation, MO, for a workforce development program, including supportive services",490000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Rung Foundation,St. Louis,For the expansion of access to workforce training and wraparound services for women.,500000.0,,,,,,,1,Missouri,Roy,MO,,,1,22022,FY2023,,B000575,Workforce Development,,-90.22587,38.6063,-90.22587,38.6063,establishment,rooftop,2717 sidney st,st. louis,mo 63104,usa,"38.60752, 38.60482, -90.224735, -90.227433",S,3902,Employment and Training Administration,Department of Labor,,,,1.0,S,490000.0,0,1,0.0,490000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,7405,7405
Blunt,MO,LHHS,,St. Louis,"St. Louis Community College, MO, for a drone pilot and geospatial technology training program, including equipment and curriculum",1000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,St. Louis Community College,St. Louis,"For a drone pilot and geospatial technology training program, including curriculum and equipment.",2000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19612,FY2023,,B000575,Education,Higher Ed,-90.2788,38.62905,-90.2788,38.62905,establishment,rooftop,5600 oakland ave,st. louis,mo 63110,usa,"38.63030, 38.62760, -90.274627, -90.280746",S,3925,Employment and Training Administration,Department of Labor,,,,1.0,S,1000000.0,0,1,0.0,1000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6647,6647
Blunt,MO,LHHS,,,"BJC Behavioral Health, MO, for facilities and equipment",4500000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,BJC Behavioral Health,St. Louis,For facilities and equipment for behavioral health service expansion.,7500000.0,,,,,,,1,Missouri,Roy,MO,,,1,25053,FY2023,,B000575,Health,Mental & Behavioral Health,-90.1994,38.627,-90.1994,38.627,locality,approximate,st. louis,mo,usa,38.77435,"38.53185, -90.166409, -90.320515",S,4265,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,4500000.0,0,1,0.0,4500000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,8420,8420
Blunt,MO,LHHS,,,"East Central College, MO, for facilities and equipment",3000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,East Central College,Rolla,"For facilities and equipment for a health sciences building in Rolla, Missouri.",8000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19606,FY2023,,B000575,Education,Higher Ed,-91.74864,37.94734,-91.74864,37.94734,establishment,rooftop,500 forum dr,rolla,mo 65401,usa,"37.94860, 37.94590, -91.747360, -91.750058",S,4449,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,3000000.0,0,1,0.0,3000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6641,6641
Blunt,MO,LHHS,,Harris Stowe,"Harris Stowe State University, MO, for facilities and equipment",2000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Harris Stowe State University,St. Louis,"For the construction and equipment of labs for the STEM building to expand education opportunities for health care, research, and analytics.",2500000.0,,,,,,,1,Missouri,Roy,MO,,,1,19614,FY2023,,B000575,Education,Higher Ed,-90.22492,38.63192,-90.22492,38.63192,establishment,rooftop,​3026 laclede ave,st. louis,mo 63103,usa,"38.63494, 38.63112, -90.222882, -90.227298",S,4520,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,2000000.0,0,1,0.0,2000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6649,6649
Blunt,MO,LHHS,,Kansas City,"Kansas City University, MO, for facilities and equipment",8000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Kansas City University,Joplin and Kansas City,For facilities and equipment for a Center of Excellence to improve population health through its health professions programs.,15000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19616,FY2023,,B000575,Education,Higher Ed,-94.57857,39.09973,-94.57857,39.09973,locality,approximate,kansas city,mo,usa,39.35666,"38.82718, -94.385522, -94.765917",S,4581,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,8000000.0,0,1,0.0,8000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6651,6651
Blunt,MO,LHHS,,,"Metropolitan Community College, MO, for facilities and equipment",2000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan Community College,Kansas City,For equipment and construction of the Penn Valley Campus Health Science Center.,2500000.0,,,,,,,1,Missouri,Roy,MO,,,1,19607,FY2023,,B000575,Education,Higher Ed,-94.59039,39.06869,-94.59039,39.06869,establishment,rooftop,3200 broadway blvd,kansas city,mo 64111,usa,"39.07018, 39.06749, -94.589699, -94.592397",S,4665,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,2000000.0,0,1,0.0,2000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6642,6642
Blunt,MO,LHHS,,,"Missouri Southern State University, MO, for facilities and equipment",2000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Missouri Southern State University,Joplin,For facilities and equipment for a Health Science Innovation Center at Missouri Southern State University.,3500000.0,,,,,,,1,Missouri,Roy,MO,,,1,19609,FY2023,,B000575,Education,Higher Ed,-94.46076,37.0959,-94.46076,37.0959,establishment,rooftop,3950 newman rd,joplin,mo 64801,usa,"37.10064, 37.09133, -94.454420, -94.466912",S,4675,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,2000000.0,0,1,0.0,2000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6644,6644
Blunt,MO,LHHS,,,"Missouri State University, MO, for facilities and equipment",30000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Missouri Southern State University,Joplin,For facilities and equipment for a Health Science Innovation Center at Missouri Southern State University.,3500000.0,,,,,,,1,Missouri,Roy,MO,,,1,19609,FY2023,,B000575,Education,Higher Ed,-94.46076,37.0959,-94.46076,37.0959,establishment,rooftop,3950 newman rd,joplin,mo 64801,usa,"37.10064, 37.09133, -94.454420, -94.466912",S,4676,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,30000000.0,0,1,0.0,30000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6644,6644
Blunt,MO,LHHS,,,"Ozarks Healthcare, MO, for facilities and equipment",3000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Ozarks Healthcare,West Plains,For facilities and equipment for the procedural rooms at the Ozarks Health Medical Center.,4750000.0,,,,,,,1,Missouri,Roy,MO,,,1,26267,FY2023,,B000575,Health,,-91.8746,36.73817,-91.8746,36.73817,doctor,rooftop,1100 kentucky ave,west plains,mo 65775,usa,"36.73993, 36.73723, -91.873290, -91.875988",S,4758,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,3000000.0,0,1,0.0,3000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,8892,8892
Blunt,MO,LHHS,,,"Pershing Memorial Hospital, MO, for facilities and equipment",1100000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,"Pershing Memorial Hospital, Pershing Health System",Brookfield,For facilities and equipment at Pershing Hospital.,1100000.0,,,,,,,1,Missouri,Roy,MO,,,1,23754,FY2023,,B000575,Health,Hospitals & Clincs,-93.06802,39.7745,-93.06802,39.7745,establishment,rooftop,130 e lockling ave,brookfield,mo 64628,usa,"39.77579, 39.77309, -93.066705, -93.069403",S,4765,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,1100000.0,0,1,0.0,1100000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,7927,7927
Blunt,MO,LHHS,,,"SSM Health, MO, for facilities and equipment",3000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,SSM Health,St. Louis,For facilities and equipment for a behavioral and mental health building at the University of Missouri-St. Louis.,10000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19605,FY2023,,B000575,Education,Higher Ed,-90.1994,38.627,-90.1994,38.627,locality,approximate,st. louis,mo,usa,38.77435,"38.53185, -90.166409, -90.320515",S,4824,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,3000000.0,0,1,0.0,3000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6640,6640
Blunt,MO,LHHS,,St. Louis,"Saint Louis University, MO, for facilities andequipment",4000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Saint Louis University,St. Louis,For facilities and equipment for a health sciences and public health building at Saint Louis University.,10000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19608,FY2023,,B000575,Education,Higher Ed,-90.23364,38.63482,-90.23364,38.63482,establishment,rooftop,1 n grand blvd,st. louis,mo 63103,usa,"38.63894, 38.63105, -90.223145, -90.240982",S,4829,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,4000000.0,0,1,0.0,4000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6643,6643
Blunt,MO,LHHS,,,"Southeast Missouri State University , MO, for facilities and equipment",10000000.0,,,Roy Blunt,1/10/50,M,3.0,Republican,,,,,,,,,,,,,,,,,,,,,,,,Southeast Missouri State University,Cape Girardeau,For facilities and equipment for health sciences building at Southeast Missouri State University.,20000000.0,,,,,,,1,Missouri,Roy,MO,,,1,19613,FY2023,,B000575,Education,Higher Ed,-89.52804,37.31488,-89.52804,37.31488,establishment,rooftop,1 university plaza,cape girardeau,mo 63701,usa,"37.31849, 37.30689, -89.524886, -89.532709",S,4867,Health Resources and Services Administration,Department of Health and Human Services,,,,1.0,S,10000000.0,0,1,0.0,10000000.0,Roy,,,B000575,,,,,,,,,,,,,,,,,,,,,,,6648,6648
